county_name,County Name Cleaned,state_ID,countyFIPS,State,county_correct_spelling
Spink County,Spink,SpinkSD,46115,SD,
Stanley County,Stanley,StanleySD,46117,SD,
Sully County,Sully,SullySD,46119,SD,
Todd County,Todd,ToddSD,46121,SD,
Tripp County,Tripp,TrippSD,46123,SD,
Turner County,Turner,TurnerSD,46125,SD,
Union County,Union,UnionSD,46127,SD,
Walworth County,Walworth,WalworthSD,46129,SD,
Yankton County,Yankton,YanktonSD,46135,SD,
Ziebach County,Ziebach,ZiebachSD,46137,SD,
Statewide Unallocated,Statewide Unallocated,Statewide UnallocatedTN,0,TN,
Anderson County,Anderson,AndersonTN,47001,TN,
Bedford County,Bedford,BedfordTN,47003,TN,
Benton County,Benton,BentonTN,47005,TN,
Bledsoe County,Bledsoe,BledsoeTN,47007,TN,
Blount County,Blount,BlountTN,47009,TN,
Bradley County,Bradley,BradleyTN,47011,TN,
Campbell County,Campbell,CampbellTN,47013,TN,
Cannon County,Cannon,CannonTN,47015,TN,
Carroll County,Carroll,CarrollTN,47017,TN,
Carter County,Carter,CarterTN,47019,TN,
Cheatham County,Cheatham,CheathamTN,47021,TN,
Chester County,Chester,ChesterTN,47023,TN,
Claiborne County,Claiborne,ClaiborneTN,47025,TN,
Clay County,Clay,ClayTN,47027,TN,
Cocke County,Cocke,CockeTN,47029,TN,
Coffee County,Coffee,CoffeeTN,47031,TN,
Crockett County,Crockett,CrockettTN,47033,TN,
Cumberland County,Cumberland,CumberlandTN,47035,TN,
Davidson County,Davidson,DavidsonTN,47037,TN,
Decatur County,Decatur,DecaturTN,47039,TN,
DeKalb County,DeKalb,DeKalbTN,47041,TN,
Dickson County,Dickson,DicksonTN,47043,TN,
Dyer County,Dyer,DyerTN,47045,TN,
Fayette County,Fayette,FayetteTN,47047,TN,
Fentress County,Fentress,FentressTN,47049,TN,
Franklin County,Franklin,FranklinTN,47051,TN,
Gibson County,Gibson,GibsonTN,47053,TN,
Giles County,Giles,GilesTN,47055,TN,
Grainger County,Grainger,GraingerTN,47057,TN,
Greene County,Greene,GreeneTN,47059,TN,
Grundy County,Grundy,GrundyTN,47061,TN,
Hamblen County,Hamblen,HamblenTN,47063,TN,
Hamilton County,Hamilton,HamiltonTN,47065,TN,
Hancock County,Hancock,HancockTN,47067,TN,
Hardeman County,Hardeman,HardemanTN,47069,TN,
Hardin County,Hardin,HardinTN,47071,TN,
Hawkins County,Hawkins,HawkinsTN,47073,TN,
Haywood County,Haywood,HaywoodTN,47075,TN,
Henderson County,Henderson,HendersonTN,47077,TN,
Henry County,Henry,HenryTN,47079,TN,
Hickman County,Hickman,HickmanTN,47081,TN,
Houston County,Houston,HoustonTN,47083,TN,
Humphreys County,Humphreys,HumphreysTN,47085,TN,
Jackson County,Jackson,JacksonTN,47087,TN,
Jefferson County,Jefferson,JeffersonTN,47089,TN,
Johnson County,Johnson,JohnsonTN,47091,TN,
Knox County,Knox,KnoxTN,47093,TN,
Lake County,Lake,LakeTN,47095,TN,
Lauderdale County,Lauderdale,LauderdaleTN,47097,TN,
